指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
850751.INDX	申万金属制品	申银万国指数-金属制品	2003-10-15	0000-00-00	有	有	有
850811.INDX	申万集成电路	申银万国指数-集成电路	2003-10-15	0000-00-00	有	有	有
850812.INDX	申万分立器件	申银万国指数-分立器件	2003-10-15	0000-00-00	有	有	有
850813.INDX	申万半导体材料	申银万国指数-半导体材料	2003-10-15	0000-00-00	有	有	有
850821.INDX	申银元件	申银万国指数-元件	2003-10-15	0000-00-00	NA	NA	有
850822.INDX	申万印制电路板	申银万国指数-印制电路板	2003-10-15	0000-00-00	有	有	有
850823.INDX	申万被动元件	申银万国指数-被动元件	2003-10-15	0000-00-00	有	有	有
850831.INDX	申银显示器件	申银万国指数-显示器件	2003-10-15	0000-00-00	有	有	有
850832.INDX	申银LED	申银万国指数-LED	2003-10-15	0000-00-00	有	有	有
850833.INDX	申银光学元件	申银万国指数-光学元件	2003-10-15	0000-00-00	有	有	有
850841.INDX	申万其他电子	申银万国指数-其他电子	2003-10-15	0000-00-00	有	有	有
850851.INDX	申万电子系统组装	申银万国指数-电子系统组装	2003-10-15	0000-00-00	有	有	有
850852.INDX	申万电子零部件制造	申银万国指数-电子零部件制造	2003-10-15	0000-00-00	有	有	有
850911.INDX	申万乘用车	申银万国指数-乘用车	2003-10-15	0000-00-00	有	有	有
850912.INDX	申万商用载货车	申银万国指数-商用载货车	2003-10-15	0000-00-00	有	有	有
850913.INDX	申万商用载客车	申银万国指数-商用载客车	2003-10-15	0000-00-00	有	有	有
850914.INDX	申万专用汽车	申银万国指数-专用汽车	2003-10-15	0000-00-00	NA	有	有
850921.INDX	申万汽车零部件	申银万国指数-汽车零部件	2003-10-15	0000-00-00	有	有	有
850931.INDX	申万摩托车	申银万国指数-摩托车	2003-10-15	0000-00-00	NA	有	有
850932.INDX	申银农机设备	申银万国指数-农机设备	2003-10-15	0000-00-00	NA	NA	有
850934.INDX	申万航空航天设备	申银万国指数-航空航天设备	2003-10-15	0000-00-00	NA	有	有
850935.INDX	申万船舶制造	申银万国指数-船舶制造	2003-10-15	0000-00-00	有	有	有
850936.INDX	申万铁路设备	申银万国指数-铁路设备	2003-10-15	0000-00-00	有	有	有
850937.INDX	申万其他交运设备	申银万国指数-其他交运设备	2003-10-15	0000-00-00	NA	有	有
850941.INDX	申万汽车服务	申银万国指数-汽车服务	2003-10-15	0000-00-00	有	有	有
850942.INDX	申万其他交运设备服务	申银万国指数-其他交运设备服务	2003-10-15	0000-00-00	NA	有	有
851011.INDX	申银交换设备	申银万国指数-交换设备	2003-10-15	0000-00-00	NA	NA	有
851012.INDX	申万终端设备	申银万国指数-终端设备	2003-10-15	0000-00-00	有	有	有
851013.INDX	申万通信传输设备	申银万国指数-通信传输设备	2003-10-15	0000-00-00	有	有	有
851014.INDX	申万通信配套服务	申银万国指数-通信配套服务	2003-10-15	0000-00-00	有	有	有
851021.INDX	申万计算机设备	申银万国指数-计算机设备	2003-10-15	0000-00-00	有	有	有
851111.INDX	申万冰箱	申银万国指数-冰箱	2003-10-15	0000-00-00	有	有	有
851112.INDX	申万空调	申银万国指数-空调	2003-10-15	0000-00-00	有	有	有
851113.INDX	申万洗衣机	申银万国指数-洗衣机	2003-10-15	0000-00-00	有	有	有
851114.INDX	申万小家电	申银万国指数-小家电	2003-10-15	0000-00-00	有	有	有
851115.INDX	申万家电零部件	申银万国指数-家电零部件	2003-10-15	0000-00-00	有	有	有
851121.INDX	申万彩电	申银万国指数-彩电	2003-10-15	0000-00-00	有	有	有
851122.INDX	申万其它视听器材	申银万国指数-其它视听器材	2003-10-15	0000-00-00	有	有	有
851211.INDX	申银肉制品	申银万国指数-肉制品	2003-10-15	0000-00-00	NA	NA	有
851212.INDX	申银制糖	申银万国指数-制糖	2003-10-15	0000-00-00	NA	NA	有
851213.INDX	申银食品综合	申银万国指数-食品综合	2003-10-15	0000-00-00	NA	NA	有
851221.INDX	申银调味发酵品	申银万国指数-调味发酵品	2003-10-15	0000-00-00	NA	NA	有
851222.INDX	申银乳品	申银万国指数-乳品	2003-10-15	0000-00-00	NA	NA	有
851231.INDX	申万白酒	申银万国指数-白酒	2003-10-15	0000-00-00	有	有	有
851232.INDX	申万啤酒	申银万国指数-啤酒	2003-10-15	0000-00-00	有	有	有
851233.INDX	申万其他酒类	申银万国指数-其他酒类	2003-10-15	0000-00-00	有	有	有
851234.INDX	申万软饮料	申银万国指数-软饮料	2003-10-15	0000-00-00	有	有	有
851235.INDX	申万葡萄酒	申银万国指数-葡萄酒	2003-10-15	0000-00-00	有	有	有
851236.INDX	申万黄酒	申银万国指数-黄酒	2003-10-15	0000-00-00	有	有	有
851241.INDX	申万肉制品	申银万国指数-肉制品	2003-10-15	0000-00-00	有	有	有
851242.INDX	申万调味发酵品	申银万国指数-调味发酵品	2003-10-15	0000-00-00	有	有	有
851243.INDX	申万乳品	申银万国指数-乳品	2003-10-15	0000-00-00	有	有	有
851244.INDX	申万食品综合	申银万国指数-食品综合	2003-10-15	0000-00-00	有	有	有
851311.INDX	申万毛纺	申银万国指数-毛纺	2003-10-15	0000-00-00	有	有	有
851312.INDX	申万棉纺	申银万国指数-棉纺	2003-10-15	0000-00-00	有	有	有
851313.INDX	申万丝绸	申银万国指数-丝绸	2003-10-15	0000-00-00	有	有	有
851314.INDX	申万印染	申银万国指数-印染	2003-10-15	0000-00-00	有	有	有
851315.INDX	申万辅料	申银万国指数-辅料	2003-10-15	0000-00-00	有	有	有
851316.INDX	申万其他纺织	申银万国指数-其他纺织	2003-10-15	0000-00-00	有	有	有
851321.INDX	申银服装	申银万国指数-服装	2003-10-15	0000-00-00	NA	NA	有
851322.INDX	申万男装	申银万国指数-男装	2003-10-15	0000-00-00	有	有	有
851323.INDX	申万女装	申银万国指数-女装	2003-10-15	0000-00-00	有	有	有
851324.INDX	申万休闲服装	申银万国指数-休闲服装	2003-10-15	0000-00-00	有	有	有
851325.INDX	申万鞋帽	申银万国指数-鞋帽	2003-10-15	0000-00-00	有	有	有
851326.INDX	申万家纺	申银万国指数-家纺	2003-10-15	0000-00-00	有	有	有
851327.INDX	申万其他服装	申银万国指数-其他服装	2003-10-15	0000-00-00	有	有	有
851411.INDX	申万造纸	申银万国指数-造纸	2003-10-15	0000-00-00	有	有	有
851421.INDX	申万包装印刷	申银万国指数-包装印刷	2003-10-15	0000-00-00	有	有	有
851432.INDX	申万家具	申银万国指数-家具	2003-10-15	0000-00-00	有	有	有
851433.INDX	申万其他家用轻工	申银万国指数-其他家用轻工	2003-10-15	0000-00-00	有	有	有
851434.INDX	申万珠宝首饰	申银万国指数-珠宝首饰	2003-10-15	0000-00-00	有	有	有
851435.INDX	申万文娱用品	申银万国指数-文娱用品	2003-10-15	0000-00-00	有	有	有
851441.INDX	申万其他轻工制造	申银万国指数-其他轻工制造	2005-05-27	0000-00-00	有	有	有
851511.INDX	申万化学原料药	申银万国指数-化学原料药	2003-10-15	0000-00-00	有	有	有
851512.INDX	申万化学制剂	申银万国指数-化学制剂	2003-10-15	0000-00-00	有	有	有
851513.INDX	申万化学药	申银万国指数-化学药	2003-10-15	0000-00-00	NA	NA	NA
851521.INDX	申万中药	申银万国指数-中药	2003-10-15	0000-00-00	有	有	有
851531.INDX	申万生物制品	申银万国指数-生物制品	2003-10-15	0000-00-00	有	有	有
851541.INDX	申万医药商业	申银万国指数-医药商业	2003-10-15	0000-00-00	有	有	有
851551.INDX	申万医疗器械	申银万国指数-医疗器械	2003-10-15	0000-00-00	有	有	有
851561.INDX	申万医疗服务	申银万国指数-医疗服务	2003-10-15	0000-00-00	有	有	有
851611.INDX	申万火电	申银万国指数-火电	2003-10-15	0000-00-00	有	有	有
851612.INDX	申万水电	申银万国指数-水电	2003-10-15	0000-00-00	有	有	有
851613.INDX	申万燃机发电	申银万国指数-燃机发电	2003-10-15	0000-00-00	有	有	有
851614.INDX	申万热电	申银万国指数-热电	2003-10-15	0000-00-00	有	有	有
851615.INDX	申万新能源发电	申银万国指数-新能源发电	2014-02-21	0000-00-00	有	有	有
851621.INDX	申万水务	申银万国指数-水务	2003-10-15	0000-00-00	有	有	有
851631.INDX	申万燃气	申银万国指数-燃气	2003-10-15	0000-00-00	有	有	有
851641.INDX	申万环保工程及服务	申银万国指数-环保工程及服务	2003-10-15	0000-00-00	有	有	有
851711.INDX	申万港口	申银万国指数-港口	2003-10-15	0000-00-00	有	有	有
851721.INDX	申万公交	申银万国指数-公交	2003-10-15	0000-00-00	有	有	有
851731.INDX	申万高速公路	申银万国指数-高速公路	2003-10-15	0000-00-00	有	有	有
851741.INDX	申万航空运输	申银万国指数-航空运输	2003-10-15	0000-00-00	有	有	有
851751.INDX	申万机场	申银万国指数-机场	2003-10-15	0000-00-00	有	有	有
851761.INDX	申万航运	申银万国指数-航运	2003-10-15	0000-00-00	有	有	有
851771.INDX	申万铁路运输	申银万国指数-铁路运输	2003-10-15	0000-00-00	有	有	有
851781.INDX	申万物流	申银万国指数-物流	2003-10-15	0000-00-00	有	有	有
851811.INDX	申万房地产开发	申银万国指数-房地产开发	2003-10-15	0000-00-00	有	有	有
851821.INDX	申万园区开发	申银万国指数-园区开发	2003-10-15	0000-00-00	有	有	有
851911.INDX	申万银行	申银万国指数-银行	2003-10-15	0000-00-00	有	有	有
851921.INDX	申万多元金融	申银万国指数-多元金融	2003-10-15	0000-00-00	有	有	有
851931.INDX	申万证券	申银万国指数-证券	2003-10-15	0000-00-00	有	有	有
851941.INDX	申万保险	申银万国指数-保险	2003-10-15	0000-00-00	有	有	有
852011.INDX	申万百货零售	申银万国指数-百货零售	2003-10-15	0000-00-00	NA	有	有
852012.INDX	申万专业连锁	申银万国指数-专业连锁	2003-10-15	0000-00-00	NA	有	有
852013.INDX	申万商业物业经营	申银万国指数-商业物业经营	2003-10-15	0000-00-00	NA	有	有
852021.INDX	申万贸易	申银万国指数-贸易	2003-10-15	0000-00-00	有	有	有
852031.INDX	申万百货	申银万国指数-百货	2014-02-21	0000-00-00	有	有	有
852032.INDX	申万超市	申银万国指数-超市	2014-02-21	0000-00-00	有	有	有
852033.INDX	申万多业态零售	申银万国指数-多业态零售	2014-02-21	0000-00-00	有	有	有
852041.INDX	申万专业连锁	申银万国指数-专业连锁	2014-02-21	0000-00-00	有	有	有
852051.INDX	申万一般物业经营	申银万国指数-一般物业经营	2014-02-21	0000-00-00	有	有	有
852052.INDX	申万专业市场	申银万国指数-专业市场	2014-02-21	0000-00-00	有	有	有
852111.INDX	申万人工景点	申银万国指数-人工景点	2003-10-15	0000-00-00	有	有	有
852112.INDX	申万自然景点	申银万国指数-自然景点	2003-10-15	0000-00-00	有	有	有
852121.INDX	申万酒店	申银万国指数-酒店	2003-10-15	0000-00-00	有	有	有
852131.INDX	申万旅游综合	申银万国指数-旅游综合	2003-10-15	0000-00-00	有	有	有
852141.INDX	申万餐饮	申银万国指数-餐饮	2003-10-15	0000-00-00	有	有	有
852151.INDX	申万其他休闲服务	申银万国指数-其他休闲服务	2014-02-21	0000-00-00	有	有	有
852211.INDX	申万通信运营	申银万国指数-通信运营	2003-10-15	0000-00-00	有	有	有
852221.INDX	申万互联网信息服务	申银万国指数-互联网信息服务	2003-10-15	0000-00-00	有	有	有
852222.INDX	申万移动互联网服务	申银万国指数-移动互联网服务	2003-10-15	0000-00-00	有	有	有
852223.INDX	申万其他互联网服务	申银万国指数-其他互联网服务	2003-10-15	0000-00-00	有	有	有
852224.INDX	申万有线电视网络	申银万国指数-有线电视网络	2003-10-15	0000-00-00	有	有	有
852225.INDX	申万软件开发	申银万国指数-软件开发	2014-02-21	0000-00-00	有	有	有
852226.INDX	申万IT服务	申银万国指数-IT服务	2014-02-21	0000-00-00	有	有	有
852231.INDX	申万计算机应用	申银万国指数-计算机应用	2003-10-15	0000-00-00	NA	NA	NA
852232.INDX	申万软件开发及服务	申银万国指数-软件开发及服务	2003-10-15	0000-00-00	NA	有	有
852233.INDX	申万系统集成	申银万国指数-系统集成	2003-10-15	0000-00-00	NA	有	有
852241.INDX	申万平面媒体	申银万国指数-平面媒体	2003-10-15	0000-00-00	有	有	有
852242.INDX	申万影视动漫	申银万国指数-影视动漫	2003-10-15	0000-00-00	有	有	有
852243.INDX	申万营销服务	申银万国指数-营销服务	2003-10-15	0000-00-00	有	有	有
852244.INDX	申万其他文化传媒	申银万国指数-其他文化传媒	2003-10-15	0000-00-00	有	有	有
852311.INDX	申万综合	申银万国指数-综合	2003-10-15	0000-00-00	有	有	有
857221.INDX	申万装修装饰	申银万国指数-装修装饰	2014-02-21	0000-00-00	有	有	有
857231.INDX	申万城轨建设	申银万国指数-城轨建设	2014-02-21	0000-00-00	有	有	有
857232.INDX	申万路桥施工	申银万国指数-路桥施工	2014-02-21	0000-00-00	有	有	有
857233.INDX	申万水利工程	申银万国指数-水利工程	2014-02-21	0000-00-00	有	有	有
857234.INDX	申万铁路建设	申银万国指数-铁路建设	2014-02-21	0000-00-00	有	有	有
857235.INDX	申万其他基础建设	申银万国指数-其他基础建设	2014-02-21	0000-00-00	有	有	有
857241.INDX	申万钢结构	申银万国指数-钢结构	2014-02-21	0000-00-00	有	有	有
857242.INDX	申万化学工程	申银万国指数-化学工程	2014-02-21	0000-00-00	有	有	有
857243.INDX	申万国际工程承包	申银万国指数-国际工程承包	2014-02-21	0000-00-00	有	有	有
857244.INDX	申万其他专业工程	申银万国指数-其他专业工程	2014-02-21	0000-00-00	有	有	有
857251.INDX	申万园林工程	申银万国指数-园林工程	2014-02-21	0000-00-00	有	有	有
857321.INDX	申万电网自动化	申银万国指数-电网自动化	2014-02-21	0000-00-00	有	有	有
857322.INDX	申万工控自动化	申银万国指数-工控自动化	2014-02-21	0000-00-00	有	有	有
857323.INDX	申万计量仪表	申银万国指数-计量仪表	2014-02-21	0000-00-00	有	有	有
857331.INDX	申万综合电力设备商	申银万国指数-综合电力设备商	2014-02-21	0000-00-00	有	有	有
857332.INDX	申万风电设备	申银万国指数-风电设备	2014-02-21	0000-00-00	有	有	有
857333.INDX	申万光伏设备	申银万国指数-光伏设备	2014-02-21	0000-00-00	有	有	有
857334.INDX	申万火电设备	申银万国指数-火电设备	2014-02-21	0000-00-00	有	有	有
857335.INDX	申万储能设备	申银万国指数-储能设备	2014-02-21	0000-00-00	有	有	有
857336.INDX	申万其它电源设备	申银万国指数-其它电源设备	2014-02-21	0000-00-00	有	有	有
857341.INDX	申万高压设备	申银万国指数-高压设备	2014-02-21	0000-00-00	有	有	有
857342.INDX	申万中压设备	申银万国指数-中压设备	2014-02-21	0000-00-00	有	有	有
857343.INDX	申万低压设备	申银万国指数-低压设备	2014-02-21	0000-00-00	有	有	有
857344.INDX	申万线缆部件及其他	申银万国指数-线缆部件及其他	2014-02-21	0000-00-00	有	有	有
857411.INDX	申万航天装备	申银万国指数-航天装备	2014-02-21	0000-00-00	有	有	有
857421.INDX	申万航空装备	申银万国指数-航空装备	2014-02-21	0000-00-00	有	有	有
857431.INDX	申万地面兵装	申银万国指数-地面兵装	2014-02-21	0000-00-00	有	有	有
858811.INDX	申万其他交运设备	申银万国指数-其他交运设备	2014-02-21	0000-00-00	有	有	有
921188.INDX	300欧元对冲全收益	沪深300欧元对冲全收益指数	2019-11-15	0000-00-00	NA	NA	有
921260.INDX	互联互通A股投资全收益	中证互联互通A股投资主题全收益指数	2019-11-18	0000-00-00	有	有	有
921261.INDX	全球电子竞技(全)	中证全球电子竞技主题全收益指数	2019-11-25	0000-00-00	NA	NA	有
921262.INDX	全球电子竞技(全)HKD	中证全球电子竞技主题港元全收益指数	2019-11-25	0000-00-00	NA	NA	有
921263.INDX	全球电子竞技(全)USD	中证全球电子竞技主题美元全收益指数	2019-11-25	0000-00-00	NA	NA	有
921265.INDX	民企300全收益	中证民企300全收益指数	2019-11-15	0000-00-00	有	有	有
921266.INDX	民企贡献全收益	中证民企贡献全收益指数	2019-11-15	0000-00-00	有	有	有
921267.INDX	民企领先全收益	中证民企领先全收益指数	2019-11-15	0000-00-00	有	有	有
921268.INDX	持续发展全收益	中证可持续发展100全收益指数	2019-11-15	0000-00-00	有	有	有
921273.INDX	海南指数(全)	中证海南发展主题全收益指数	2019-10-18	0000-00-00	有	有	有
921341.INDX	大湾区高质发展(全)	中证建信理财粤港澳大湾区高质量发展全收益指数	2019-10-18	0000-00-00	NA	有	有
921342.INDX	大湾区高质发展(全)HKD	中证建信理财粤港澳大湾区高质量发展港元全收益指数	2019-10-18	0000-00-00	NA	有	有
921343.INDX	大湾区价值蓝筹(全)	中证建信理财粤港澳大湾区价值蓝筹全收益指数	2019-10-18	0000-00-00	NA	有	有
921344.INDX	大湾区价值蓝筹(全)HKD	中证建信理财粤港澳大湾区价值蓝筹港元全收益指数	2019-10-18	0000-00-00	NA	有	有
